accuracy,adversarial,avg_agreement_rate,avg_cost_usd,avg_dissent_rate,avg_exposure_density,avg_mean_exposure_load,avg_tokens_in,avg_tokens_out,brier_score,ccs,ccs_corrections,ccs_opportunities,chs,chs_harms,chs_opportunities,config,dataset,ece,method,model,n,output_dir,pci,pci_contaminated_switches,pci_exposed_switches,pds,run_type,seed,variant,wcr
0.0,False,0.6083333333333333,0.0,0.39166666666666666,0.0,0.0,497.3,610.0,0.4263888888888888,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.6083333333333334,adaptive_stability_detection,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.2
0.08,False,0.7341666666666667,0.0,0.2658333333333333,0.0,0.0,344.86,299.96,0.558125,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.6541666666666667,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.43
0.09,False,0.71,0.0,0.29,0.0,0.0,379.52,361.09,0.5131944444444444,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.62,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.34
0.54,False,0.9175,0.0,0.0825,0.0,0.0,326.59,156.68,0.40673611111111113,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.38416666666666666,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.35
0.44,False,0.9475,0.0,0.0525,0.0,0.0,887.94,249.74,0.5122916666666667,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.5075,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.47
0.27,False,0.9008333333333333,0.0,0.09916666666666667,0.0,0.0,755.21,298.47,0.6071527777777778,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.6308333333333334,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.55
0.53,False,0.95,0.0,0.05,0.0,0.0,226.61,140.93,0.445,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.42,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.44
0.55,False,0.935,0.0,0.065,0.0,0.0,379.7,123.68,0.3605555555555556,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.385,adaptive_stability_detection,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.31
0.0,False,0.4875,0.0,0.5125,0.0,0.0,638.55,770.1,0.30243890866051837,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.5160855476279745,agentauditor_style,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.2
0.05,False,0.69,0.0,0.31,0.0,0.0,445.43,394.91,0.4860251272587808,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.6026070742824836,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.5
0.08,False,0.67,0.0,0.33,0.0,0.0,501.37,510.54,0.48038513954306433,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.6062602277462862,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.5
0.49,False,0.8775,0.0,0.1225,0.0,0.0,436.18,227.65,0.4207754991896293,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.397417068516115,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.43
0.44,False,0.9325,0.0,0.0675,0.0,0.0,1180.27,353.07,0.5004987478646925,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.4922443719755944,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.51
0.28,False,0.8775,0.0,0.1225,0.0,0.0,993.43,381.59,0.5661617121211157,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.5833374805181194,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.62
0.53,False,0.9425,0.0,0.0575,0.0,0.0,298.15,191.54,0.44796187084162153,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.4423219600340136,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.45
0.58,False,0.8675,0.0,0.1325,0.0,0.0,500.98,175.14,0.27219791635757834,0.0,0.0,0.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.2924854974490705,agentauditor_style,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0,0.0,0.0,0.0,main,42,all_methods,0.28
0.0,False,0.4625,0.0,0.5375,0.21428571428571427,1.5,1812.65,1138.1,0.4913580246913581,0.0,0.0,79.0,1.0,1.0,1.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.6611111111111112,c3_style_causal_credit_analysis,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.29508196721311475,18.0,61.0,0.7625,main,42,all_methods,0.65
0.22,False,0.53875,0.0,0.46125,0.21428571428571427,1.5,1521.32,604.92,0.468425925925926,0.12285714285714286,43.0,350.0,0.38,19.0,50.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.5161111111111112,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.30434782608695654,84.0,276.0,0.69,main,42,all_methods,0.5
0.15,False,0.58,0.0,0.42,0.21428571428571427,1.5,1598.34,685.1,0.4733950617283952,0.06388888888888888,23.0,360.0,0.25,10.0,40.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.5922222222222222,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.26778242677824265,64.0,239.0,0.5975,main,42,all_methods,0.59
0.44,False,0.715,0.0,0.285,0.21428571428571427,1.5,1311.22,387.96,0.3607098765432098,0.0635593220338983,15.0,236.0,0.17682926829268292,29.0,164.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.3405555555555556,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.20192307692307693,21.0,104.0,0.26,main,42,all_methods,0.4
0.46,False,0.78125,0.0,0.21875,0.21428571428571427,1.5,2187.83,559.1,0.41583333333333333,0.10434782608695652,24.0,230.0,0.20588235294117646,35.0,170.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.3950000000000001,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1956521739130435,18.0,92.0,0.23,main,42,all_methods,0.51
0.28,False,0.71,0.0,0.29,0.21428571428571427,1.5,1954.74,537.25,0.5130555555555556,0.08250825082508251,25.0,303.0,0.25773195876288657,25.0,97.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.5427777777777779,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.23357664233576642,32.0,137.0,0.3425,main,42,all_methods,0.62
0.5,False,0.8025,0.0,0.1975,0.21428571428571427,1.5,1111.19,344.13,0.389320987654321,0.12121212121212122,24.0,198.0,0.13861386138613863,28.0,202.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.3577777777777778,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.23076923076923078,12.0,52.0,0.13,main,42,all_methods,0.49
0.61,False,0.68,0.0,0.32,0.21428571428571427,1.5,1274.01,323.33,0.23925925925925928,0.17801047120418848,34.0,191.0,0.14832535885167464,31.0,209.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.1444444444444444,c3_style_causal_credit_analysis,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.13402061855670103,13.0,97.0,0.2425,main,42,all_methods,0.23
0.0,False,0.3625,0.0,0.6375,0.0375,0.2625,1507.7,1446.9,0.2039769978715819,0.0,0.0,42.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.4137532441038987,cider_full,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.16666666666666666,6.0,36.0,0.8571428571428571,main,42,all_methods,0.05
0.08,False,0.55125,0.0,0.44875,0.03464285714285714,0.2425,1087.89,785.5,0.4146675227652812,0.11666666666666667,21.0,180.0,0.7142857142857143,10.0,14.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.5502078337835061,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.06779661016949153,12.0,177.0,0.9123711340206185,main,42,all_methods,0.1
0.08,False,0.51125,0.0,0.48875,0.03732142857142857,0.26125,1224.89,940.71,0.3332576208590456,0.031413612565445025,6.0,191.0,0.6111111111111112,11.0,18.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.5011711153248691,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.11049723756906077,20.0,181.0,0.8660287081339713,main,42,all_methods,0.14
0.54,False,0.71875,0.0,0.28125,0.040178571428571425,0.28125,1062.68,455.76,0.32426700514671647,0.2689075630252101,32.0,119.0,0.5566037735849056,59.0,106.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.2554222784699153,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1037037037037037,14.0,135.0,0.6,main,42,all_methods,0.22
0.44,False,0.79,0.0,0.21,0.03625,0.25375,2559.45,687.36,0.4310904652078289,0.23893805309734514,27.0,113.0,0.6,54.0,90.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.41160109638688,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.07207207207207207,8.0,111.0,0.5467980295566502,main,42,all_methods,0.36
0.26,False,0.68625,0.0,0.31375,0.039285714285714285,0.275,2188.58,724.47,0.4101441029631958,0.14545454545454545,24.0,165.0,0.509090909090909,28.0,55.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.49147500596778515,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.2978723404255319,42.0,141.0,0.6409090909090909,main,42,all_methods,0.35
0.5,False,0.82,0.0,0.18,0.035,0.245,753.74,374.08,0.42082072715488394,0.5051546391752577,49.0,97.0,0.5252525252525253,52.0,99.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.39807353856516986,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.09803921568627451,10.0,102.0,0.5204081632653061,main,42,all_methods,0.37
0.67,False,0.75125,0.0,0.24875,0.03839285714285714,0.26875,1155.59,344.02,0.23021068225923658,0.3411764705882353,29.0,85.0,0.43846153846153846,57.0,130.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.22713146692129266,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.026785714285714284,3.0,112.0,0.5209302325581395,main,42,all_methods,0.12
0.0,False,0.375,0.0,0.625,0.09107142857142857,0.6375,1837.2,1411.4,0.22199645516339112,0.0,0.0,75.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.4297767370354819,cider_full_tuned,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.16923076923076924,11.0,65.0,0.8666666666666667,main,42,all_methods,0.1
0.07,False,0.45375,0.0,0.54625,0.08839285714285713,0.61875,1419.6,776.6,0.3206413241962047,0.16467065868263472,55.0,334.0,0.7096774193548387,22.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.488235505022423,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0736196319018405,24.0,326.0,0.8931506849315068,main,42,all_methods,0.09
0.08,False,0.46875,0.0,0.53125,0.09017857142857143,0.63125,1539.5,912.64,0.2933887730289781,0.04216867469879518,14.0,332.0,0.5161290322580645,16.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.46359955927403906,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.19322033898305085,57.0,295.0,0.8126721763085399,main,42,all_methods,0.15
